,VARIETY,...1,Nr.,Abbr..x,Exp..x,Maturity,Mother,Father,COUNTRY.x,Year,Source,heat-sensitivity_combi_HI_starch,Identifier,Sample name,Nr,Stärke % verfügbar,Lfd. #,FAU_Nr,Abbr..y,BREEDER/ Origin,REMARK/ GLKS/ LFL,Maturity/ purpose,parent_genotyped
11,ALLIANS,16,3,AL,Exp_03,8,L 185/88359,E 90/55,GER,2003,NA,medium,P1-C01-003-AL,003-AL,3,ja,NA,NA,NA,NA,NA,NA,FALSE
12,ALLISON,17,4,AN,Exp_01,5,HEO 98-1620,AGATA,NLD,2018,NA,tolerant,P1-D01-004-AN,004-AN,4,ja,NA,NA,NA,NA,NA,NA,FALSE
13,ALMERA,18,5,AE,Exp_01,6,BOHM 77-2102,AR 80- 31-  20,NLD,1999,NA,medium,P1-E01-005-AE,005-AE,5,ja,NA,NA,NA,NA,NA,NA,FALSE
14,ALONSO,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,P01-H09-397-ALO-2,397-ALO-2,NA,NA,GBS2_72,397,ALO,Agrico,ADAPT-set,NA,FALSE
15,ALOUETTE,20,6,AO,Exp_03,8,AR 02-139-1,LAURA,NLD,2014,NA,medium-sensitiv,P1-F01-006-AO,006-AO,6,ja,NA,NA,NA,NA,NA,NA,FALSE
16,ALTHEA,21,7,AH,Exp_01,5,HEO 98-1620,HEO 96- 176,NLD,2018,NA,medium-tolerant,P1-G01-007-AH,007-AH,7,ja,NA,NA,NA,NA,NA,NA,FALSE
17,ALTUS,22,8,ALT,Exp_01,5,KARNA 87-2306,KARTEL,NLD,2008,NA,medium,P1-H01-008-ALT,008-ALT,8,ja,NA,NA,NA,NA,NA,NA,FALSE
18,ALVERSTONE RUSSET,24,9,AV,Exp_03,4,CRE 98- 200,INNOVATOR,NLD,2017,NA,medium-torerant,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
19,AMADO,25,NA,NA,NA,NA,KURAS,BH 84-212,GER,2002,https://www.plantbreeding.wur.nl/PotatoPedigree/lookup.php?name=AMADO,NA,P01-A01-208-AMA-2,208-AMA-2,NA,NA,GBS2_01,208,AMA,Europlant,LSV 211 Weih,Stärke,TRUE
20,AMARYL,26,105,AM,Exp_06,4,SASKIA,(CPC 1673-20 (adg) x FURORE),NLD,1963,NA,medium-sensitiv,P2-A02-105-AM,105-AM,105,nein,NA,NA,NA,NA,NA,NA,FALSE
21,AMBITION,27,10,AB,Exp_03,7,ADORA,QUINTA,NLD,2007,NA,medium-sensitiv,P1-B02-010-AB,010-AB,10,ja,NA,NA,NA,NA,NA,NA,TRUE
22,AMSEL,28,106,AMS,Exp_06,6,AQUILA,FLAVA,GER,1956,NA,(tolerant),P2-B02-106-AMS,106-AMS,106,ja,NA,NA,NA,NA,NA,NA,FALSE
23,ANNABELLE,29,11,AA,Exp_01,7,NICOLA,MONALISA,NLD,2001,NA,medium-tolerant,P1-C02-011-AA,011-AA,11,ja,NA,NA,NA,NA,NA,NA,TRUE
24,ANYA,30,12,AY,Exp_01,5,DESIREE,PINK FIR APPLE,GBR,1996,NA,medium,P1-D02-012-AY,012-AY,12,ja,NA,NA,NA,NA,NA,NA,TRUE
